rank,name,country_code,confederation,total_points,previous_rank,previous_points,points_change,last_update_date
1,Brazil,BRA,CONMEBOL,1841.30,1,1837.56,3.74,2022-10-06T00:00:00Z
2,Belgium,BEL,UEFA,1816.71,2,1821.92,-5.21,2022-10-06T00:00:00Z
3,Argentina,ARG,CONMEBOL,1773.88,3,1770.65,3.23,2022-10-06T00:00:00Z
4,France,FRA,UEFA,1759.78,4,1764.85,-5.07,2022-10-06T00:00:00Z
5,England,ENG,UEFA,1728.47,5,1737.46,-8.99,2022-10-06T00:00:00Z
6,Italy,ITA,UEFA,1726.14,7,1713.86,12.28,2022-10-06T00:00:00Z
7,Spain,ESP,UEFA,1715.22,6,1716.93,-1.71,2022-10-06T00:00:00Z
8,Netherlands,NED,UEFA,1694.51,8,1679.41,15.10,2022-10-06T00:00:00Z
9,Portugal,POR,UEFA,1676.56,9,1678.65,-2.09,2022-10-06T00:00:00Z
10,Denmark,DEN,UEFA,1666.57,10,1665.47,1.10,2022-10-06T00:00:00Z
11,Germany,GER,UEFA,1650.21,11,1658.96,-8.75,2022-10-06T00:00:00Z
12,Croatia,CRO,UEFA,1645.64,15,1632.15,13.49,2022-10-06T00:00:00Z
13,Mexico,MEX,CONCACAF,1644.89,12,1649.57,-4.68,2022-10-06T00:00:00Z
14,Uruguay,URU,CONMEBOL,1638.71,13,1640.95,-2.24,2022-10-06T00:00:00Z
15,Switzerland,SUI,UEFA,1635.92,16,1621.43,14.49,2022-10-06T00:00:00Z
16,USA,USA,CONCACAF,1627.48,14,1635.01,-7.53,2022-10-06T00:00:00Z
17,Colombia,COL,CONMEBOL,1611.04,17,1604.07,6.97,2022-10-06T00:00:00Z
18,Senegal,SEN,CAF,1584.38,18,1584.59,-0.21,2022-10-06T00:00:00Z
19,Wales,WAL,UEFA,1569.82,19,1582.13,-12.31,2022-10-06T00:00:00Z
20,IR Iran,IRN,AFC,1564.61,22,1558.64,5.97,2022-10-06T00:00:00Z
21,Serbia,SRB,UEFA,1563.62,25,1549.53,14.09,2022-10-06T00:00:00Z
22,Morocco,MAR,CAF,1563.50,23,1558.35,5.15,2022-10-06T00:00:00Z
23,Peru,PER,CONMEBOL,1561.01,21,1562.24,-1.23,2022-10-06T00:00:00Z
24,Japan,JPN,AFC,1559.54,24,1554.69,4.85,2022-10-06T00:00:00Z
25,Sweden,SWE,UEFA,1553.33,20,1563.44,-10.11,2022-10-06T00:00:00Z
26,Poland,POL,UEFA,1548.59,26,1546.18,2.41,2022-10-06T00:00:00Z
27,Ukraine,UKR,UEFA,1536.99,27,1542.79,-5.80,2022-10-06T00:00:00Z
28,Korea Republic,KOR,AFC,1530.30,28,1526.02,4.28,2022-10-06T00:00:00Z
